Entry	Gene names	Organism	Gene ontology IDs
Q9YFV3	amzA APE_0147.1	Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)	GO:0008237; GO:0008270
Q9YC55	APE_1396	Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)	GO:0005886; GO:0006810; GO:0016021
A2BLN3	Hbut_1051	Hyperthermus butylicus (strain DSM 5456 / JCM 9403 / PLM1-5)	GO:0016491; GO:0030151
I6U6R8	PFC_03440	Pyrococcus furiosus COM1	GO:0003824; GO:0051536
Q9YC88	ribH APE_1366.1	Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)	GO:0009231; GO:0009349; GO:0016740
Q51800	vorD PF0970	Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1)	GO:0043807; GO:0046872; GO:0051539
Q8TXH2	MK0702	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	GO:0016021
Q8TZ40	MK0099	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	
G0EHJ1	Pyrfu_1486	Pyrolobus fumarii (strain DSM 11204 / 1A)	
I6TVA3	PFC_01390	Pyrococcus furiosus COM1	
Q9V1P2	rpl35ae PYRAB03850 PAB7092	Pyrococcus abyssi (strain GE5 / Orsay)	GO:0003735; GO:0005840; GO:0006412
Q8TYF6	MK0344	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	GO:0003723; GO:0008168
Q8TUY2	MK1619	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	GO:0003677
Q9V0D6	mae PAB1792	Pyrococcus abyssi (strain GE5 / Orsay)	GO:0004471; GO:0051287
I6U727	PFC_04140	Pyrococcus furiosus COM1	
Q8TWS7	nac egd2 MK0955	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	GO:0003723; GO:0015031
Q8TXW4	ilvH MK0545	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	GO:0003984; GO:0009082; GO:0016597
A2BK76	rps13 Hbut_0527	Hyperthermus butylicus (strain DSM 5456 / JCM 9403 / PLM1-5)	GO:0003735; GO:0005840; GO:0006412; GO:0019843
G0EF59	Pyrfu_1088	Pyrolobus fumarii (strain DSM 11204 / 1A)	
I6U7L5	PFC_05310	Pyrococcus furiosus COM1	
Q9V0A5	PAB1770	Pyrococcus abyssi (strain GE5 / Orsay)	GO:0008948; GO:0015081; GO:0016021; GO:0071436
A0A0V8RRN7	CF15_08350	Pyrodictium occultum	GO:0003824; GO:0050662
Q8TWS8	fbp MK0954	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	GO:0000287; GO:0004332; GO:0006094; GO:0042132
Q8TXI6	rpoB_2 MK0687	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	GO:0003677; GO:0003899; GO:0006351; GO:0032549
G0EDX5	Pyrfu_0875	Pyrolobus fumarii (strain DSM 11204 / 1A)	GO:0003942; GO:0004073; GO:0005737; GO:0006531; GO:0009086; GO:0009088; GO:0009089; GO:0009097; GO:0046983; GO:0050661; GO:0051287
Q8U3B5	PF0555	Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1)	
Q8TVI5	MK1404	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	GO:0003746; GO:0003924; GO:0005525
G0ED02	Pyrfu_0692	Pyrolobus fumarii (strain DSM 11204 / 1A)	
Q9YCX6	APE_1136.1	Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)	GO:0004674; GO:0005524
Q9V2Q5	PAB2340	Pyrococcus abyssi (strain GE5 / Orsay)	GO:0016779
A0A0P0N2R4	Pyrde_0268	Pyrodictium delaneyi	GO:0016491
I6TW68	PFC_03265	Pyrococcus furiosus COM1	GO:0016787
A2BIZ0	Hbut_0075	Hyperthermus butylicus (strain DSM 5456 / JCM 9403 / PLM1-5)	GO:0016021
G0ECM8	rrp4 Pyrfu_1743	Pyrolobus fumarii (strain DSM 11204 / 1A)	GO:0000178; GO:0005737; GO:0006401; GO:0008143
G0EGS8	Pyrfu_1368	Pyrolobus fumarii (strain DSM 11204 / 1A)	GO:0016021
G0ECB1	purT Pyrfu_1624	Pyrolobus fumarii (strain DSM 11204 / 1A)	GO:0000287; GO:0004644; GO:0005524; GO:0006189; GO:0016829; GO:0043815
Q9YBW9	nudF APE_1481.1	Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)	GO:0047631
Q8TY35	ehaG MK0471	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	GO:0016021
Q9V0G4	obg-like PAB0558	Pyrococcus abyssi (strain GE5 / Orsay)	GO:0005525
G0ED13	Pyrfu_0703	Pyrolobus fumarii (strain DSM 11204 / 1A)	GO:0003824; GO:0030170
Q8TY45	ehbK MK0461	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	
Q9YBM2	APE_1576	Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)	GO:0005524; GO:0015833; GO:0016887
Q8TXA3	MK0772	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	GO:0003723; GO:0016740
A2BKR9	metE Hbut_0726	Hyperthermus butylicus (strain DSM 5456 / JCM 9403 / PLM1-5)	GO:0003871; GO:0008270; GO:0009086
A2BKX2	Hbut_0780	Hyperthermus butylicus (strain DSM 5456 / JCM 9403 / PLM1-5)	GO:0015078; GO:0015991; GO:0016021; GO:0033179
Q8U4E1	PF0147	Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1)	GO:0006813; GO:0008324
Q9UYN0	PAB1390	Pyrococcus abyssi (strain GE5 / Orsay)	
Q9UZE4	PAB0803	Pyrococcus abyssi (strain GE5 / Orsay)	GO:0005451; GO:0016021
Q9V0N6	slyD PAB1864	Pyrococcus abyssi (strain GE5 / Orsay)	GO:0003755
G0ED70	Pyrfu_1895	Pyrolobus fumarii (strain DSM 11204 / 1A)	
I6V199	PFC_04345	Pyrococcus furiosus COM1	
Q9Y914	rps25e APE_2470	Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)	GO:0005840
A2BM46	Hbut_1225	Hyperthermus butylicus (strain DSM 5456 / JCM 9403 / PLM1-5)	
G0EFY6	Pyrfu_1227	Pyrolobus fumarii (strain DSM 11204 / 1A)	GO:0005524
Q8U0G7	PF1622	Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1)	GO:0004810; GO:0008033
Q9Y9W1	APE_2178.1	Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)	
G0EGQ9	cobD Pyrfu_1349	Pyrolobus fumarii (strain DSM 11204 / 1A)	GO:0005886; GO:0009236; GO:0015420; GO:0016021; GO:0048472
Q9V119	rrp41 PYRAB06100 PAB0420	Pyrococcus abyssi (strain GE5 / Orsay)	GO:0000178; GO:0005737; GO:0006401; GO:0016896
Q9UZA9	PAB1558	Pyrococcus abyssi (strain GE5 / Orsay)	
G0EE48	nep1 Pyrfu_0092	Pyrolobus fumarii (strain DSM 11204 / 1A)	GO:0019843; GO:0070037
A2BKB4	Hbut_0565	Hyperthermus butylicus (strain DSM 5456 / JCM 9403 / PLM1-5)	GO:0008641; GO:0016021
I6V3U8	PFC_09750	Pyrococcus furiosus COM1	GO:0047553
Q8TYZ2	MK0149	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	GO:0016021
Q8TY07	aubA MK0499	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	GO:0003723
A2BL76	Hbut_0888	Hyperthermus butylicus (strain DSM 5456 / JCM 9403 / PLM1-5)	GO:0000287; GO:0003723; GO:0004826; GO:0005524; GO:0005737; GO:0006432
Q8TH07	PF1230	Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1)	
G8ZJN3	PAB0721	Pyrococcus abyssi (strain GE5 / Orsay)	GO:0008168
Q8TX30	MK0848	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	GO:0008233; GO:0016021
Q9YA30	APE_2109	Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)	GO:0003824; GO:0031419; GO:0046872; GO:0051536
G8ZIN6	PAB1399.1n	Pyrococcus abyssi (strain GE5 / Orsay)	GO:0016021
Q8TVS1	MK1317	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	
Q9Y9M3	APE_2265.1	Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)	
Q8TXV3	MK0556	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	
Q8X259		Methanopyrus kandleri	GO:0003824
Q9V2J6	PYRAB00790 PAB2291	Pyrococcus abyssi (strain GE5 / Orsay)	
Q8TYV5	rnhB MK0186	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	GO:0003723; GO:0004523; GO:0005737; GO:0006401; GO:0030145
A2BKZ7	Hbut_0805	Hyperthermus butylicus (strain DSM 5456 / JCM 9403 / PLM1-5)	GO:0006629; GO:0008889
Q9V1B4	PAB2020	Pyrococcus abyssi (strain GE5 / Orsay)	
I6V265	PFC_06210	Pyrococcus furiosus COM1	GO:0016829; GO:0046872; GO:0051536
A2BJG1	Hbut_0250	Hyperthermus butylicus (strain DSM 5456 / JCM 9403 / PLM1-5)	GO:0003824; GO:0016021
I6U840	PFC_06330	Pyrococcus furiosus COM1	GO:0003867; GO:0030170
G0EGE8	Pyrfu_1314	Pyrolobus fumarii (strain DSM 11204 / 1A)	GO:0008686; GO:0009231
A2BLS9	Hbut_1097	Hyperthermus butylicus (strain DSM 5456 / JCM 9403 / PLM1-5)	
Q9YEX2	hjc APE_0461	Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)	GO:0000287; GO:0003677; GO:0006281; GO:0006310; GO:0008821
Q9V2D5	PAB0088	Pyrococcus abyssi (strain GE5 / Orsay)	GO:0016021
Q8TXD2	nadK MK0742	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	GO:0003951; GO:0005524; GO:0005737; GO:0006741; GO:0019674
Q8TV54	hypB_2 MK1546	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	GO:0006461; GO:0016151
I0A2D3	FFONT_1152	Fervidicoccus fontis (strain DSM 19380 / JCM 18336 / VKM B-2539 / Kam940)	
G0EF43	Pyrfu_1072	Pyrolobus fumarii (strain DSM 11204 / 1A)	GO:0016491
Q8U0G9	PF1620	Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1)	
Q9YA06	APE_2133	Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)	GO:0016021
A2BMG9	Hbut_1353	Hyperthermus butylicus (strain DSM 5456 / JCM 9403 / PLM1-5)	
Q9V2L4	PAB2305	Pyrococcus abyssi (strain GE5 / Orsay)	
I6V1A8	PFC_09385	Pyrococcus furiosus COM1	GO:0016021
Q9UYF4	cheA PAB1332	Pyrococcus abyssi (strain GE5 / Orsay)	GO:0000155; GO:0005737; GO:0006935
A2BJ82	Hbut_0171	Hyperthermus butylicus (strain DSM 5456 / JCM 9403 / PLM1-5)	
Q8TY93	rpl2 MK0412	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	GO:0003735; GO:0006412; GO:0015934; GO:0019843
Q9YFU2	APE_0158.1	Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)	GO:0004489; GO:0006555
A2BK05	Hbut_0450	Hyperthermus butylicus (strain DSM 5456 / JCM 9403 / PLM1-5)	GO:0016021
Q8U0W6	PF1465	Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1)	GO:0016021
A2BMA3	Hbut_1284	Hyperthermus butylicus (strain DSM 5456 / JCM 9403 / PLM1-5)	GO:0005524; GO:0016887; GO:0046872; GO:0051536
Q8TX09	eriC MK0872	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	GO:0005247; GO:0016021
Q9YAE1	APE_1998	Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)	GO:0006281
Q8U1G0	PF1248	Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1)	GO:0003677; GO:0004803; GO:0006313
G0EEN5	rpl1 Pyrfu_0989	Pyrolobus fumarii (strain DSM 11204 / 1A)	GO:0000049; GO:0003735; GO:0006412; GO:0006417; GO:0015934; GO:0019843
Q8U2M7	PF0806	Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1)	GO:0016021
G0ECX4	Pyrfu_1840	Pyrolobus fumarii (strain DSM 11204 / 1A)	
A2BLN1	Hbut_1048	Hyperthermus butylicus (strain DSM 5456 / JCM 9403 / PLM1-5)	GO:0000287; GO:0006400; GO:0008193
Q9YD48	APE_1064	Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)	
I6V148	PFC_09035	Pyrococcus furiosus COM1	GO:0016491; GO:0051536
Q9UYS6	tfe PYRAB14310 PAB0950	Pyrococcus abyssi (strain GE5 / Orsay)	GO:0006355; GO:0006367; GO:0043565
A2BIW3	Hbut_0046	Hyperthermus butylicus (strain DSM 5456 / JCM 9403 / PLM1-5)	
I6U8U1	PFC_08000	Pyrococcus furiosus COM1	GO:0003824; GO:0051536
Q9UY76	moxR-1 PAB1276	Pyrococcus abyssi (strain GE5 / Orsay)	GO:0005524; GO:0016887
Q9UYV2	cysS PYRAB14050 PAB0931	Pyrococcus abyssi (strain GE5 / Orsay)	GO:0004817; GO:0005524; GO:0005737; GO:0006423; GO:0046872
Q9YE22	APE_0748.1	Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)	
Q8TWR2	MK0970	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	GO:0008152; GO:0016787; GO:0046872
Q8U160	rpl7ae PF1367	Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1)	GO:0003735; GO:0005840; GO:0006364; GO:0006412; GO:0008033; GO:0019843
Q8TWD0	MK1105	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	
Q9UZI9	PAB1604	Pyrococcus abyssi (strain GE5 / Orsay)	GO:0016021; GO:0016740
Q8TYM0	MK0276	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	
G0EGQ7	Pyrfu_1347	Pyrolobus fumarii (strain DSM 11204 / 1A)	
Q9V2I9	PAB0046	Pyrococcus abyssi (strain GE5 / Orsay)	GO:0003723
Q8TXD1	hht1_2 MK0743	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	GO:0046982
Q9UZI5	PAB0773	Pyrococcus abyssi (strain GE5 / Orsay)	GO:0016740
A2BJ01	Hbut_0087	Hyperthermus butylicus (strain DSM 5456 / JCM 9403 / PLM1-5)	GO:0016491
I6V3D3	PFC_08590	Pyrococcus furiosus COM1	
Q8U4K4	wtpB PF0081	Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1)	GO:0005886; GO:0006810; GO:0016021
G0EE00	Pyrfu_0044	Pyrolobus fumarii (strain DSM 11204 / 1A)	
Q8U1L8	PF1188	Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1)	GO:0000287; GO:0004743; GO:0016301; GO:0030955
G0EGF1	Pyrfu_1317	Pyrolobus fumarii (strain DSM 11204 / 1A)	GO:0004072; GO:0009088; GO:0009089; GO:0016597
G0EEF4	Pyrfu_0123	Pyrolobus fumarii (strain DSM 11204 / 1A)	
Q9V0L8	PAB0520	Pyrococcus abyssi (strain GE5 / Orsay)	
Q8U1Z6	PF1058	Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1)	GO:0008654; GO:0016021; GO:0016779; GO:0016780; GO:0046872
P58839	gap gapA MK0618	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	GO:0005737; GO:0006096; GO:0043891; GO:0050661; GO:0051287
Q9YDL5	APE_0898.1	Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)	GO:0016021
Q9UYM7	PAB0981	Pyrococcus abyssi (strain GE5 / Orsay)	
A2BJC5	Hbut_0214	Hyperthermus butylicus (strain DSM 5456 / JCM 9403 / PLM1-5)	GO:0016021
G0ECI6	Pyrfu_1700	Pyrolobus fumarii (strain DSM 11204 / 1A)	GO:0005524; GO:0006464; GO:0016874; GO:0046872
I6V203	PFC_05735	Pyrococcus furiosus COM1	
G0EGQ2	Pyrfu_1342	Pyrolobus fumarii (strain DSM 11204 / 1A)	GO:0003824; GO:0008152
Q9YDF6	nucS APE_0957	Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)	GO:0003677; GO:0004519; GO:0005737
G0EF86	Pyrfu_0257	Pyrolobus fumarii (strain DSM 11204 / 1A)	
A2BIT3	Hbut_0010	Hyperthermus butylicus (strain DSM 5456 / JCM 9403 / PLM1-5)	GO:0005737; GO:0006364
Q8TVB7	rpl18e rpl18A MK1475	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	GO:0003735; GO:0005840; GO:0006412
Q9Y939	APE_2446	Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)	
Q8TW61	MK1175	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	
A2BM41	Hbut_1218	Hyperthermus butylicus (strain DSM 5456 / JCM 9403 / PLM1-5)	GO:0006281
Q8TXZ8	MK0509	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	GO:0009058; GO:0016021
Q9YA79	APE_2060.1	Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)	GO:0005524; GO:0016887
Q8TGZ6	MK0370	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	GO:0003723; GO:0006364; GO:0008757
Q9V2N9	PAB2327	Pyrococcus abyssi (strain GE5 / Orsay)	
Q05E49	APE_0818a	Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)	
A2BJV9	Hbut_0404	Hyperthermus butylicus (strain DSM 5456 / JCM 9403 / PLM1-5)	GO:0008152; GO:0016740
G0EHB4	Pyrfu_1480	Pyrolobus fumarii (strain DSM 11204 / 1A)	
Q8TVU5	MK1293	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	
Q8TYL4	pcm MK0282	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	GO:0004719; GO:0005737
Q8TYR2	MK0230	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	GO:0008168
Q9UZP3	traB PAB0729	Pyrococcus abyssi (strain GE5 / Orsay)	
Q9YD67	htpX APE_1045.1	Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)	GO:0004222; GO:0005886; GO:0016021; GO:0046872
Q8U4L3	PF0068	Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1)	GO:0005524; GO:0005886; GO:0006810; GO:0016887
Q9YFU4	APE_0156.1	Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)	GO:0008324; GO:0016021
I6UX02	PFC_00430	Pyrococcus furiosus COM1	GO:0000049; GO:0002098; GO:0034227
Q8TWD8	MK1097	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	
Q9UYY8	acaA PYRAB13690 PAB0906	Pyrococcus abyssi (strain GE5 / Orsay)	GO:0004315; GO:0006633
G0EEU2	Pyrfu_0184	Pyrolobus fumarii (strain DSM 11204 / 1A)	
Q8TZM5	ef1b PF1965	Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1)	GO:0003746
G0EDH5	flpA Pyrfu_0791	Pyrolobus fumarii (strain DSM 11204 / 1A)	GO:0003723; GO:0006364; GO:0008033; GO:0008168
Q9Y8P5	APE_2588	Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)	GO:0005524; GO:0016887
Q9Y8Z9	APE_2485.1	Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)	GO:0016021
Q8TXP2	sua7_1 MK0619	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	GO:0003743; GO:0006355; GO:0017025; GO:0046872; GO:0070897
Q9YDF3	APE_0960	Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)	GO:0005524
Q8U4F6	PF0132	Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1)	GO:0003824
I6UX61	PFC_00860	Pyrococcus furiosus COM1	
G0EGG8	Pyrfu_0471	Pyrolobus fumarii (strain DSM 11204 / 1A)	GO:0016021
Q9YAZ6	APE_1799.1	Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)	
G0EF66	Pyrfu_1095	Pyrolobus fumarii (strain DSM 11204 / 1A)	
Q9YF81	rps17 APE_0360.1	Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)	GO:0003735; GO:0005840; GO:0006412; GO:0019843
A2BKL6	Hbut_0671	Hyperthermus butylicus (strain DSM 5456 / JCM 9403 / PLM1-5)	
A0A117IU76	APY94_01700	Thermococcus celericrescens	
Q8TXV4	MK0555	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	GO:0004519
I6V0V9	PFC_03545	Pyrococcus furiosus COM1	
A2BJJ4	Hbut_0283	Hyperthermus butylicus (strain DSM 5456 / JCM 9403 / PLM1-5)	
Q8U265	PF0985	Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1)	GO:0043565
Q9YBA0	APE_1697	Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)	
I6V0S1	PFC_03310	Pyrococcus furiosus COM1	GO:0004252; GO:0070008
A2BMH4	Hbut_1358	Hyperthermus butylicus (strain DSM 5456 / JCM 9403 / PLM1-5)	GO:0005524; GO:0008233
Q9UZW1	PAB2433	Pyrococcus abyssi (strain GE5 / Orsay)	GO:0008654; GO:0016021; GO:0016780
Q9UZX5	PAB1691	Pyrococcus abyssi (strain GE5 / Orsay)	
I6UZK2	PFC_05840	Pyrococcus furiosus COM1	GO:0016021; GO:0016491; GO:0046872
A2BLE3	Hbut_0956	Hyperthermus butylicus (strain DSM 5456 / JCM 9403 / PLM1-5)	GO:0044249; GO:0046523
Q8TVB8	rpoD MK1474	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	GO:0003677; GO:0003899; GO:0006351; GO:0046983
Q51802	vorB PF0968	Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1)	GO:0030976; GO:0043807
Q8U2I1	PF0853	Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1)	GO:0006166; GO:0017061
Q9V1F5	PYRAB04720 PAB3117	Pyrococcus abyssi (strain GE5 / Orsay)	GO:0003677; GO:0005694; GO:0005737; GO:0046982
Q9YB16	APE_1779.1	Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)	
F1SVF3	mcrB MK0651	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	GO:0015948; GO:0050524
F4HN17	PNA2_1105	Pyrococcus sp. (strain NA2)	
A2BJ42	dphB Hbut_0128	Hyperthermus butylicus (strain DSM 5456 / JCM 9403 / PLM1-5)	GO:0004164; GO:0017183
Q9YEA9	rpiA APE_0665	Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)	GO:0004751; GO:0009052
G0ECR2	Pyrfu_1778	Pyrolobus fumarii (strain DSM 11204 / 1A)	GO:0001522; GO:0042254
Q8TXC5	MK0749	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	GO:0016021; GO:0016787
Q8TY32	ehaD MK0474	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	GO:0016021
Q8TW86	MK1150	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	GO:0016021
Q9V125	PAB0415	Pyrococcus abyssi (strain GE5 / Orsay)	
G0EGD5	rtcB Pyrfu_1301	Pyrolobus fumarii (strain DSM 11204 / 1A)	GO:0006396; GO:0008452; GO:0046872
Q9YER7	APE_0514	Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)	GO:0008168
G0EFM2	Pyrfu_0321	Pyrolobus fumarii (strain DSM 11204 / 1A)	
Q9YB62	srp54 APE_1735	Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)	GO:0003924; GO:0005525; GO:0006614; GO:0008312; GO:0048500
G0EF44	Pyrfu_1073	Pyrolobus fumarii (strain DSM 11204 / 1A)	
I6V126	PFC_03920	Pyrococcus furiosus COM1	GO:0000287; GO:0016616; GO:0051287
Q8TW36	tatA MK1201	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	GO:0005886; GO:0008565; GO:0009306; GO:0016021
I6TVG1	PFC_01715	Pyrococcus furiosus COM1	GO:0016021
A2BJR1	Hbut_0350	Hyperthermus butylicus (strain DSM 5456 / JCM 9403 / PLM1-5)	GO:0016021; GO:0055085
Q9Y8V4	hyuB APE_2530.1	Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)	GO:0003824
P81554	trm1 PF1871	Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1)	GO:0000049; GO:0004809
Q8TZ21	MK0120	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	
I6TWH6	PFC_03975	Pyrococcus furiosus COM1	
Q9YF31	atpE APE_0409.1	Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)	GO:0006754; GO:0015991; GO:0033178; GO:0046961
Q9UYY3	PAB0910	Pyrococcus abyssi (strain GE5 / Orsay)	GO:0016021
I6U6P2	PFC_03205	Pyrococcus furiosus COM1	GO:0016021
