Entry	Gene names	Organism	Gene ontology IDs
Q9Y9Y5	tatC APE_2154.1	Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)	GO:0005887; GO:0008320; GO:0033281; GO:0043953
A2BN10	Hbut_1550	Hyperthermus butylicus (strain DSM 5456 / JCM 9403 / PLM1-5)	
A2BLZ2	Hbut_1168	Hyperthermus butylicus (strain DSM 5456 / JCM 9403 / PLM1-5)	GO:0016021
Q9YF42	APE_0399.1	Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)	
A2BJ09	Hbut_0095	Hyperthermus butylicus (strain DSM 5456 / JCM 9403 / PLM1-5)	
A2BL11	Hbut_0819	Hyperthermus butylicus (strain DSM 5456 / JCM 9403 / PLM1-5)	
Q05E06	APE_1484a	Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)	
Q9YAU6	APE_1848.1	Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)	GO:0004518
Q9V0B5	PYRAB08750 PAB1780	Pyrococcus abyssi (strain GE5 / Orsay)	
Q8TXG8	MK0706	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	GO:0016021
I6U5L8	PFC_00745	Pyrococcus furiosus COM1	GO:0005198
A2BM42	prf1 Hbut_1221	Hyperthermus butylicus (strain DSM 5456 / JCM 9403 / PLM1-5)	GO:0005737; GO:0016149
Q9V1X6	PAB2147	Pyrococcus abyssi (strain GE5 / Orsay)	GO:0005524; GO:0016021; GO:0042626
Q8U3K5	PF0461	Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1)	GO:0002128; GO:0005737; GO:0008175
Q8TXG7	MK0707	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	GO:0005524; GO:0006810
G0EGX9	Pyrfu_0559	Pyrolobus fumarii (strain DSM 11204 / 1A)	
Q9UY27	PAB1241	Pyrococcus abyssi (strain GE5 / Orsay)	GO:0016021
G0EGR6	Pyrfu_1356	Pyrolobus fumarii (strain DSM 11204 / 1A)	GO:0008152; GO:0016747
A2BMS5	Hbut_1462	Hyperthermus butylicus (strain DSM 5456 / JCM 9403 / PLM1-5)	
G0EHM7	Pyrfu_1523	Pyrolobus fumarii (strain DSM 11204 / 1A)	
A2BJF5	Hbut_0244	Hyperthermus butylicus (strain DSM 5456 / JCM 9403 / PLM1-5)	
Q9V189	PYRAB05390 PAB0370	Pyrococcus abyssi (strain GE5 / Orsay)	GO:0006725; GO:0008198; GO:0016491
Q9YA01	APE_2138	Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)	
Q9YAI1	nadE APE_1958.1	Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)	GO:0003952; GO:0005524; GO:0008795; GO:0009435
Q9UY10	PYRAB16980 PAB1112	Pyrococcus abyssi (strain GE5 / Orsay)	
I6UZ42	PFC_05040	Pyrococcus furiosus COM1	GO:0015299; GO:0016021
G0EGS9	Pyrfu_1369	Pyrolobus fumarii (strain DSM 11204 / 1A)	GO:0016021
A2BM22	Hbut_1199	Hyperthermus butylicus (strain DSM 5456 / JCM 9403 / PLM1-5)	GO:0016021
A2BK07	Hbut_0452	Hyperthermus butylicus (strain DSM 5456 / JCM 9403 / PLM1-5)	
I6TYY8	PFC_09005	Pyrococcus furiosus COM1	
G0EF72	Pyrfu_1102	Pyrolobus fumarii (strain DSM 11204 / 1A)	GO:0016021
G0EH47	Pyrfu_1413	Pyrolobus fumarii (strain DSM 11204 / 1A)	
Q9UZP0	PAB0732	Pyrococcus abyssi (strain GE5 / Orsay)	GO:0000166; GO:0003899; GO:0006351
Q8TYL1	MK0285	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	
Q9V1N4	PYRAB03930 PAB0263	Pyrococcus abyssi (strain GE5 / Orsay)	
Q8TZC4	rfcS MK0006	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	GO:0003677; GO:0005524; GO:0006260; GO:0006281; GO:0006310; GO:0009378; GO:0016539
I6USE4	PFC_10160	Pyrococcus furiosus COM1	GO:0003824; GO:0008152
Q9V0U4	PAB1905	Pyrococcus abyssi (strain GE5 / Orsay)	
A2BM93	Hbut_1274	Hyperthermus butylicus (strain DSM 5456 / JCM 9403 / PLM1-5)	GO:0000166; GO:0003677; GO:0003887; GO:0006260; GO:0008408
Q8U0A8	aroB PF1691	Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1)	GO:0003856; GO:0005737; GO:0009073; GO:0009423
A2BKM4	Hbut_0679	Hyperthermus butylicus (strain DSM 5456 / JCM 9403 / PLM1-5)	GO:0004514; GO:0009435
I6UZ37	PFC_05015	Pyrococcus furiosus COM1	GO:0003824; GO:0051536
Q9YG94	APE_0007.1	Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)	GO:0016021
Q8TZL5	ppcA PF1975	Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1)	GO:0006099; GO:0008964; GO:0015977
I6V104	PFC_03795	Pyrococcus furiosus COM1	GO:0016021
Q8TXS4	priS pri1 priA MK0586	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	GO:0003896; GO:0046872; GO:1990077
G0ECU0	Pyrfu_1806	Pyrolobus fumarii (strain DSM 11204 / 1A)	
Q8TXR1	MK0599	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	GO:0008168
G0EDA1	Pyrfu_1926	Pyrolobus fumarii (strain DSM 11204 / 1A)	GO:0003871; GO:0008270; GO:0008652
Q9V2E9	PAB0076	Pyrococcus abyssi (strain GE5 / Orsay)	
Q8TYS7	MK0215	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	GO:0016021
A2BMH3	ef1b Hbut_1357	Hyperthermus butylicus (strain DSM 5456 / JCM 9403 / PLM1-5)	GO:0003746
Q9YF51	APE_0390	Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)	GO:0008080
Q9YEM0	APE_0558.1	Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)	GO:0006865
Q8TX61	mscS MK0815	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	GO:0016021; GO:0055085
A0A0P0N370	Pyrde_0875	Pyrodictium delaneyi	GO:0000166; GO:0016021; GO:0019829; GO:0030001; GO:0046872
A2BMK8	Hbut_1395	Hyperthermus butylicus (strain DSM 5456 / JCM 9403 / PLM1-5)	GO:0009055; GO:0016021; GO:0020037
Q8TYL7	MK0279	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	GO:0016021
I6V2S2	PFC_07510	Pyrococcus furiosus COM1	GO:0016491; GO:0046872
Q9YCV1	rnp2 APE_1161.1	Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)	GO:0001682; GO:0004526
A2BLH5	Hbut_0989	Hyperthermus butylicus (strain DSM 5456 / JCM 9403 / PLM1-5)	GO:0016021
G0EDJ4	Pyrfu_1945	Pyrolobus fumarii (strain DSM 11204 / 1A)	GO:0006465; GO:0008233; GO:0016020
Q9Y8U2	APE_2541	Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)	
Q8TVJ5	priL pri2 priB MK1394	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	GO:0003896; GO:0046872; GO:0051539; GO:1990077
A2BJ29	Hbut_0115	Hyperthermus butylicus (strain DSM 5456 / JCM 9403 / PLM1-5)	
Q9YCE7	APE_1310	Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)	GO:0008152; GO:0016874
I6V3T0	PFC_09600	Pyrococcus furiosus COM1	GO:0016491
A2BN19	Hbut_1559	Hyperthermus butylicus (strain DSM 5456 / JCM 9403 / PLM1-5)	GO:0003723; GO:0008168
Q9UZD1	napA-4 PAB0809	Pyrococcus abyssi (strain GE5 / Orsay)	GO:0015299; GO:0016021
Q9V0G5	aspB-like2 PAB1810	Pyrococcus abyssi (strain GE5 / Orsay)	GO:0008483; GO:0009058; GO:0030170
G0EE82	Pyrfu_0907	Pyrolobus fumarii (strain DSM 11204 / 1A)	
Q8TWQ9	MK0973	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	GO:0006810; GO:0016021
G0EHA6	Pyrfu_1472	Pyrolobus fumarii (strain DSM 11204 / 1A)	GO:0004665; GO:0006571; GO:0008977; GO:0046417
Q05E23	APE_1209e	Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)	GO:0016627
Q8TUT5	MK1668	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	
I6V169	PFC_09160	Pyrococcus furiosus COM1	GO:0016740
G0ECC4	Pyrfu_1637	Pyrolobus fumarii (strain DSM 11204 / 1A)	GO:0003676; GO:0004386; GO:0005524
Q8TYJ7	MK0300	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	
I6U7T6	PFC_05580	Pyrococcus furiosus COM1	
Q8TVA5	mrtA MK1487	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	GO:0015948; GO:0050524
