Entry	Gene names	Organism	Gene ontology IDs
W0DI80	THERU_08365	Thermocrinis ruber	
Q9WYN5	TM_0404	Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099)	GO:0002100; GO:0008251; GO:0008270
O66957	aq_755	Aquifex aeolicus (strain VF5)	
M1J8Q4	SacN8_11170	Sulfolobus acidocaldarius N8	
A0A1M6S390	SAMN05444391_0867	Thermocrinis minervae	GO:0016021
Q9WZD7	TM_0669	Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099)	
A0A1M6Q631	SAMN05444391_0091	Thermocrinis minervae	
A0A1M6T2Y4	SAMN05444391_1278	Thermocrinis minervae	GO:0003978; GO:0006012
A8UW39	HG1285_01065	Hydrogenivirga sp. 128-5-R1-1	
D3SQ20	rpsL Thal_0623	Thermocrinis albus (strain DSM 14484 / JCM 11386 / HI 11/12)	GO:0000049; GO:0003735; GO:0006412; GO:0015935; GO:0019843
O29757	rrp41 AF_0493	Archaeoglobus fulgidus (strain ATCC 49558 / VC-16 / DSM 4304 / JCM 9628 / NBRC 100126)	GO:0000178; GO:0005737; GO:0006401; GO:0016896
M1J4D2	SacRon12I_10440	Sulfolobus acidocaldarius Ron12/I	GO:0005507; GO:0055114
O66920	merR aq_702	Aquifex aeolicus (strain VF5)	GO:0003677; GO:0006355
Q57785	MJ0339	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	
Q9WZG8	rsmI TM_0709	Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099)	GO:0000453; GO:0005737; GO:0008168
W0DFF4	THERU_02610	Thermocrinis ruber	GO:0005737
Q57622	MJ0158	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	GO:0004125; GO:0097056
A0A101E1W6	rnhB XD48_0678	Archaeoglobus fulgidus	GO:0003723; GO:0004523; GO:0005737; GO:0006401; GO:0030145
W0DH22	lnt THERU_07550	Thermocrinis ruber	GO:0005886; GO:0006807; GO:0016021; GO:0016410; GO:0016810; GO:0042158
Q58440	srp19 MJ1034	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	GO:0006613; GO:0006614; GO:0008312; GO:0048500
A0A0U3HJG5	ATY89_10535 ATZ20_02090	Sulfolobus acidocaldarius	
A0A1M6TM51	miaA SAMN05444391_1519	Thermocrinis minervae	GO:0005524; GO:0008033; GO:0052381
Q57877	MJ0435	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	GO:0016779
Q58052	MJ0635	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	
E3GWV4	Mfer_1237	Methanothermus fervidus (strain ATCC 43054 / DSM 2088 / JCM 10308 / V24 S)	
O67080	gcvH3 aq_944	Aquifex aeolicus (strain VF5)	GO:0005960; GO:0019464
W0DHB8	THERU_06815	Thermocrinis ruber	GO:0005886; GO:0006810; GO:0016021
Q4JAZ8	speE Saci_0643	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	GO:0004766; GO:0005737; GO:0008295
O67172	aq_1079	Aquifex aeolicus (strain VF5)	
Q58105	MJ0694	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	GO:0000154; GO:0030515
W0DCT0	THERU_04855	Thermocrinis ruber	GO:0008901; GO:0016151; GO:0033748
W0DAE6	nadK THERU_01015	Thermocrinis ruber	GO:0003951; GO:0005524; GO:0005737; GO:0006741; GO:0019674; GO:0046872
A0A101DEF7	vapC XD40_0783 XD48_1935	Archaeoglobus fulgidus	GO:0000287; GO:0004540
D2C4B3	Tnap_1489	Thermotoga naphthophila (strain ATCC BAA-489 / DSM 13996 / JCM 10882 / RKU-10)	GO:0003824; GO:0046872; GO:0051539
O67231	forG2 aq_1169	Aquifex aeolicus (strain VF5)	GO:0016625
O29719	AF_0531	Archaeoglobus fulgidus (strain ATCC 49558 / VC-16 / DSM 4304 / JCM 9628 / NBRC 100126)	GO:0008641
E3GXF1	tbp Mfer_0180	Methanothermus fervidus (strain ATCC 43054 / DSM 2088 / JCM 10308 / V24 S)	GO:0003677; GO:0003700; GO:0006352
Q4JCA6	cysS Saci_0152	Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770)	GO:0004817; GO:0005524; GO:0005737; GO:0006423; GO:0046872
Q9WXV1	TM_0096	Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099)	GO:0017150; GO:0050660
O67685	aq_1824	Aquifex aeolicus (strain VF5)	
O30065	AF_0172	Archaeoglobus fulgidus (strain ATCC 49558 / VC-16 / DSM 4304 / JCM 9628 / NBRC 100126)	GO:0005886; GO:0016021
O28115	AF_2167	Archaeoglobus fulgidus (strain ATCC 49558 / VC-16 / DSM 4304 / JCM 9628 / NBRC 100126)	
A0A1M6T365	SAMN05444391_1283	Thermocrinis minervae	GO:0001530; GO:0015920; GO:0042597
W0DFX2	THERU_03695	Thermocrinis ruber	GO:0016021; GO:0016779
M1J8V1	SacN8_11430	Sulfolobus acidocaldarius N8	GO:0008137
W0DDP8	THERU_07075	Thermocrinis ruber	GO:0016021; GO:0046873
A0A075WHA6	AFULGI_00024550	Archaeoglobus fulgidus DSM 8774	GO:0003723; GO:0008168
O29995	cdc6-1 AF_0244	Archaeoglobus fulgidus (strain ATCC 49558 / VC-16 / DSM 4304 / JCM 9628 / NBRC 100126)	GO:0005524; GO:0006260
Q9X1Y0	TM_1647	Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099)	GO:0016021
A0A1M6RTU5	rtcB SAMN05444391_0763	Thermocrinis minervae	GO:0006396; GO:0008452; GO:0046872
O29926	vapB7 AF_0319	Archaeoglobus fulgidus (strain ATCC 49558 / VC-16 / DSM 4304 / JCM 9628 / NBRC 100126)	
